dcode,dname,month_year,value
1033,คลองเตย,Y2560-M10,9273.45
1018,คลองสาน,Y2560-M10,3953.14
1046,คลองสามวา,Y2560-M10,6536.56
1043,คันนายาว,Y2560-M10,4562.05
1030,จตุจักร,Y2560-M10,13190.9
1035,จอมทอง,Y2560-M10,6265.85
1036,ดอนเมือง,Y2560-M10,6486.68
1026,ดินแดง,Y2560-M10,9296.14
1002,ดุสิต,Y2560-M10,5203.13
1019,ตลิ่งชัน,Y2560-M10,4693.45
1048,ทวีวัฒนา,Y2560-M10,3286.79
1049,ทุ่งครุ,Y2560-M10,4632.61
1015,ธนบุรี,Y2560-M10,5207.07
1020,บางกอกน้อย,Y2560-M10,6213.54
1016,บางกอกใหญ่,Y2560-M10,2507.14
1006,บางกะปิ,Y2560-M10,10538.4
1021,บางขุนเทียน,Y2560-M10,10956.2
1005,บางเขน,Y2560-M10,9626.36
1031,บางคอแหลม,Y2560-M10,4324.86
1040,บางแค,Y2560-M10,9491.53
1029,บางซื่อ,Y2560-M10,5192.49
1047,บางนา,Y2560-M10,7069.26
1050,บางบอน,Y2560-M10,7226.66
1025,บางพลัด,Y2560-M10,5088.45
1004,บางรัก,Y2560-M10,5159.71
1027,บึงกุ่ม,Y2560-M10,6383.77
1007,ปทุมวัน,Y2560-M10,9273.48
1032,ประเวศ,Y2560-M10,9264.9
1008,ป้อมปราบศัตรูพ่าย,Y2560-M10,2642.59
1014,พญาไท,Y2560-M10,5296.59
1009,พระโขนง,Y2560-M10,4563.04
1001,พระนคร,Y2560-M10,6805.22
1022,ภาษีเจริญ,Y2560-M10,5257
1010,มีนบุรี,Y2560-M10,5797.5
1012,ยานนาวา,Y2560-M10,5862.79
1037,ราชเทวี,Y2560-M10,6551.77
1024,ราษฎร์บูรณะ,Y2560-M10,3677.89
1011,ลาดกระบัง,Y2560-M10,8852.44
1038,ลาดพร้าว,Y2560-M10,6657.93
1045,วังทองหลาง,Y2560-M10,7061.8
1039,วัฒนา,Y2560-M10,8715.1
1034,สวนหลวง,Y2560-M10,7142.6
1044,สะพานสูง,Y2560-M10,3884.6
1013,สัมพันธวงศ์,Y2560-M10,1784.02
1028,สาทร,Y2560-M10,5646.62
1042,สายไหม,Y2560-M10,7319.78
1023,หนองแขม,Y2560-M10,5533.07
1003,หนองจอก,Y2560-M10,4169.56
1041,หลักสี่,Y2560-M10,5644.96
1017,ห้วยขวาง,Y2560-M10,6834.21
1000,อื่นๆ,Y2560-M10,18217.05
1033,คลองเตย,Y2560-M11,8864.92
1018,คลองสาน,Y2560-M11,3741.27
1046,คลองสามวา,Y2560-M11,6020.13
1043,คันนายาว,Y2560-M11,4257.13
1030,จตุจักร,Y2560-M11,12824.3
1035,จอมทอง,Y2560-M11,6034.12
1036,ดอนเมือง,Y2560-M11,6140.07
1026,ดินแดง,Y2560-M11,8554.03
1002,ดุสิต,Y2560-M11,5172.06
1019,ตลิ่งชัน,Y2560-M11,4368.31
1048,ทวีวัฒนา,Y2560-M11,3153.07
1049,ทุ่งครุ,Y2560-M11,4161.68
1015,ธนบุรี,Y2560-M11,4860.21
1020,บางกอกน้อย,Y2560-M11,5103.47
1016,บางกอกใหญ่,Y2560-M11,2319.97
1006,บางกะปิ,Y2560-M11,9990.66
1021,บางขุนเทียน,Y2560-M11,9952.36
1005,บางเขน,Y2560-M11,8959.74
1031,บางคอแหลม,Y2560-M11,4057.93
1040,บางแค,Y2560-M11,8502.87
1029,บางซื่อ,Y2560-M11,4854.27
1047,บางนา,Y2560-M11,6823.96
1050,บางบอน,Y2560-M11,6643.54
1025,บางพลัด,Y2560-M11,4646.63
1004,บางรัก,Y2560-M11,4703.67
1027,บึงกุ่ม,Y2560-M11,5976.05
1007,ปทุมวัน,Y2560-M11,9269.48
1032,ประเวศ,Y2560-M11,8298.3
1008,ป้อมปราบศัตรูพ่าย,Y2560-M11,2535.52
1014,พญาไท,Y2560-M11,5052.82
1009,พระโขนง,Y2560-M11,4197.33
1001,พระนคร,Y2560-M11,6223.41
1022,ภาษีเจริญ,Y2560-M11,4860.4
1010,มีนบุรี,Y2560-M11,5309.72
1012,ยานนาวา,Y2560-M11,5431.72
1037,ราชเทวี,Y2560-M11,6382.53
1024,ราษฎร์บูรณะ,Y2560-M11,3530.36
1011,ลาดกระบัง,Y2560-M11,8443.6
1038,ลาดพร้าว,Y2560-M11,6091.23
1045,วังทองหลาง,Y2560-M11,6937.28
1039,วัฒนา,Y2560-M11,8352.22
1034,สวนหลวง,Y2560-M11,6758.44
1044,สะพานสูง,Y2560-M11,3680.13
1013,สัมพันธวงศ์,Y2560-M11,1662.08
1028,สาทร,Y2560-M11,5319.93
1042,สายไหม,Y2560-M11,6860.28
1023,หนองแขม,Y2560-M11,5266.14
1003,หนองจอก,Y2560-M11,3861.49
1041,หลักสี่,Y2560-M11,5538.57
1017,ห้วยขวาง,Y2560-M11,6577.55
1000,อื่นๆ,Y2560-M11,17315.44
1033,คลองเตย,Y2560-M12,8808.67
1018,คลองสาน,Y2560-M12,3771.21
1046,คลองสามวา,Y2560-M12,6098.24
